density,r2u2_c,r2u2_rust,hydra,bvmon
10,3579097.35146743,1440091.8778801844,7727973.72488408,27777155.55555556
5,3641659.8689002185,1509661.5338164251,7704158.705701077,27777155.55555556
2,3869968.26625387,1665555.9626915392,7352939.705882354,25251959.5959596
1,4035510.8958837767,1831501.0989010988,7342140.969162996,25380142.131979696
0.75,4248085.811384877,1917912.1595703876,7385519.940915805,25772618.556701034
0.5,4488325.852782764,2157029.767040552,7751930.23255814,26315200.000000004
0.25,4926100.492610836,2421303.631961259,8025669.341894061,27777155.55555556
0.1,5296598.516949153,2773149.7504159734,8051512.077294686,27623690.60773481
0.05,5060725.7085020235,2857141.1428571427,8291868.988391377,28408454.54545455
0.01,4621033.2717190385,2019369.1437802908,8264393.388429753,27932335.19553073
0.005,4032223.3870967734,1711142.0260095827,8389189.597315438,27777155.55555556
0.001,3662929.670329671,1471857.2269649692,8090449.838187702,28247954.80225989
0.0005,3584156.989247312,1438819.856115108,8403189.915966388,28408454.54545455
0.0001,3479400.8350730687,1389246.7352042238,8361033.444816054,28901086.705202315
5e-05,3533497.526501767,1406837.0849746766,8361033.444816052,29069116.27906977
1e-05,3503783.4618079886,1394671.9665271966,8347075.125208681,27932335.19553073
5e-06,3538498.9384288746,1406837.0849746766,8319297.836938436,29069116.27906977
1e-06,3324400.9308510637,1361628.2679738563,8319297.836938436,27777155.55555556
